"year" "top1perc" "top1perc_nok" "topmtr" "topmtr_k" "incadult_nok" "incadulttop1_nok" "incadultbot99_nok" "incadulttop1_n" "incadultbot99_n"
"33" 1945 0.125157907605171 0.110711939632893 0.899999976158142 0.25 14.505202471602 160.589910039889 13.0295993648516 106.703067606675 163.278947909772
"34" 1946 0.132770523428917 0.117624260485172 0.855000019073486 0.25 14.4814211859121 170.336645776721 12.9071259880251 114.301549147818 163.44302494989
"35" 1947 0.119550548493862 0.109538361430168 0.855000019073486 0.25 13.9945289650132 153.293777181458 12.5874658517158 97.823627043376 157.717007081609
"36" 1948 0.122426003217697 0.11269872635603 0.769999980926514 0.25 14.2104042376037 160.149445858226 12.7362725040621 101.467064816261 159.22713608877
"37" 1949 0.117269597947598 0.109460644423962 0.769999980926514 0.25 13.9977798556921 153.220600350881 12.5914887395791 95.0744344505432 156.670889950188
"38" 1950 0.128195345401764 0.11360065639019 0.870000004768372 0.25 15.1385649532125 171.975091549047 13.5543576138607 113.791892186663 169.410434865064
"39" 1951 0.117871053516865 0.105183355510235 0.871999979019165 0.25 15.5597834741177 163.66302368204 14.0637911487852 107.232918846945 175.685106901215
"40" 1952 0.107908762991428 0.0975832045078278 0.879999995231628 0.25 16.0298953033017 156.424855162116 14.6117643956369 100.529531582068 181.93997461845
"41" 1953 0.0990188494324684 0.0908108949661255 0.879999995231628 0.25 16.7382029386116 152.001118897995 15.3719108582138 95.8389634537668 190.906998263751
"42" 1954 0.107735618948936 0.0939045622944832 0.870000004768372 0.25 16.542023124887 155.337144100773 15.1400522059387 104.173962643167 188.875375770733
"43" 1955 0.110575452446938 0.0918052792549133 0.870000004768372 0.25 17.6932623835635 162.43348940535 16.2312398883939 115.368759338767 203.151727787736
"44" 1956 0.106720820069313 0.0908697545528412 0.870000004768372 0.25 18.6109992513237 169.117693395089 17.0907296135079 116.599760986368 213.657247769148
"45" 1957 0.101609691977501 0.0898188501596451 0.870000004768372 0.25 18.7047402832626 168.003826477744 17.1966687055406 110.651829926575 214.175818509995
"46" 1958 0.102057456970215 0.0883357375860214 0.870000004768372 0.25 18.1319460295447 160.169882638977 16.6972193971262 108.34361067288 208.683937282192
"47" 1959 0.106474444270134 0.0874785184860229 0.870000004768372 0.25 19.126150079309 167.312727327928 17.6293159656866 120.436511833199 221.259372560271
"48" 1960 0.100345797836781 0.0835658982396126 0.870000004768372 0.25 19.3038296853908 161.314186712418 17.8693816346127 113.73701435346 223.233905673949
"49" 1961 0.106406562030315 0.0833760052919388 0.870000004768372 0.25 19.7026929797002 164.273183414093 18.2423849955144 124.608483109391 229.087335107832
"50" 1962 0.0994990617036819 0.0827367529273033 0.870000004768372 0.25 20.5504906365063 170.028086632749 19.0406159294736 119.946122211255 237.6475317461
"51" 1963 0.099165104329586 0.081639364361763 0.870000004768372 0.25 21.1739663321734 172.862915237601 19.6417547270681 123.447591019638 245.499639639506
